縣市,統計期,業者名稱,基地臺
21,1120531,3,47
21,1120430,3,47
21,1120331,3,47
21,1120228,3,47
21,1120131,3,47
21,1111231,3,47
21,1111130,3,47
21,1111031,3,47
21,1110930,3,47
21,1110831,3,47
21,1110731,3,47
21,1110630,3,47
21,1110531,3,47
21,1110430,3,47
21,1110331,3,47
21,1110228,3,47
21,1110131,3,47
21,1101231,3,47
21,1101130,3,47
21,1101031,3,47
21,1100930,3,47
21,1100831,3,47
21,1100731,3,47
21,1100630,3,47
21,1100531,3,47
21,1100430,3,47
21,1100331,3,47
21,1100228,3,47
21,1100131,3,47
21,1091231,3,48
21,1091130,3,48
21,1091031,3,48
21,1090930,3,48
21,1090831,3,47
21,1090731,3,47
21,1090630,3,47
21,1090531,3,46
21,1090430,3,46
21,1090331,3,46
21,1090229,3,45
21,1090131,3,45
21,1081231,3,45
21,1081130,3,45
21,1081031,3,45
21,1080930,3,45
21,1080831,3,44
21,1080731,3,44
21,1080630,3,44
21,1080531,3,40
21,1080430,3,40
21,1080331,3,43
21,1080228,3,40
21,1080131,3,40
