縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
13,1120531,5,922,922
13,1120430,5,922,922
13,1120331,5,922,923
13,1120228,5,923,923
13,1120131,5,923,922
13,1111231,5,922,922
13,1111130,5,922,917
13,1111031,5,917,917
13,1110930,5,917,913
13,1110831,5,913,907
13,1110731,5,907,894
13,1110630,5,894,890
13,1110531,5,890,882
13,1110430,5,882,882
13,1110331,5,882,882
13,1110228,5,882,883
13,1110131,5,883,883
13,1101231,5,883,880
13,1101130,5,880,878
13,1101031,5,878,878
13,1100930,5,878,878
13,1100831,5,878,878
13,1100731,5,878,878
13,1100630,5,878,878
13,1100531,5,878,878
13,1100430,5,878,877
13,1100331,5,877,877
13,1100228,5,877,877
13,1100131,5,877,877
13,1091231,5,877,873
13,1091130,5,873,873
13,1091031,5,873,869
13,1090930,5,869,864
13,1090831,5,864,864
13,1090731,5,864,863
13,1090630,5,863,863
13,1090531,5,863,853
13,1090430,5,853,853
13,1090331,5,853,846
13,1090229,5,846,846
13,1090131,5,846,838
13,1081231,5,838,838
13,1081130,5,838,836
13,1081031,5,836,836
13,1080930,5,836,836
13,1080831,5,836,834
13,1080731,5,834,834
13,1080630,5,834,831
13,1080531,5,831,831
13,1080430,5,831,831
13,1080331,5,831,827
13,1080228,5,827,819
13,1080131,5,819,819
