縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
5,1120531,3,1309,1309
5,1120430,3,1309,1309
5,1120331,3,1309,1309
5,1120228,3,1309,1309
5,1120131,3,1309,1309
5,1111231,3,1309,1309
5,1111130,3,1309,1309
5,1111031,3,1309,1309
5,1110930,3,1309,1309
5,1110831,3,1309,1309
5,1110731,3,1309,1309
5,1110630,3,1309,1310
5,1110531,3,1310,1310
5,1110430,3,1310,1304
5,1110331,3,1304,1304
5,1110228,3,1304,1304
5,1110131,3,1304,1304
5,1101231,3,1304,1300
5,1101130,3,1300,1300
5,1101031,3,1300,1300
5,1100930,3,1300,1291
5,1100831,3,1291,1291
5,1100731,3,1291,1291
5,1100630,3,1291,1291
5,1100531,3,1291,1289
5,1100430,3,1289,1291
5,1100331,3,1291,1285
5,1100228,3,1285,1286
5,1100131,3,1286,1281
5,1091231,3,1281,1347
5,1091130,3,1347,1347
5,1091031,3,1347,1338
5,1090930,3,1338,1369
5,1090831,3,1369,1358
5,1090731,3,1358,1358
5,1090630,3,1358,1327
5,1090531,3,1327,1315
5,1090430,3,1315,1315
5,1090331,3,1315,1288
5,1090229,3,1288,1277
5,1090131,3,1277,1277
5,1081231,3,1277,1281
5,1081130,3,1281,1265
5,1081031,3,1265,1268
5,1080930,3,1268,1234
5,1080831,3,1234,1226
5,1080731,3,1226,1230
5,1080630,3,1230,1230
5,1080531,3,1230,1218
5,1080430,3,1218,1218
5,1080331,3,1218,1207
5,1080228,3,1207,1172
5,1080131,3,1172,1172
