縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
4,1120531,2,3641,3641
4,1120430,2,3641,3653
4,1120331,2,3653,3587
4,1120228,2,3587,3572
4,1120131,2,3572,3595
4,1111231,2,3595,3595
4,1111130,2,3595,3591
4,1111031,2,3591,3584
4,1110930,2,3584,3571
4,1110831,2,3571,3571
4,1110731,2,3571,3513
4,1110630,2,3513,3513
4,1110531,2,3513,3513
4,1110430,2,3513,3415
4,1110331,2,3415,3317
4,1110228,2,3317,3321
4,1110131,2,3321,3290
4,1101231,2,3290,3290
4,1101130,2,3290,3290
4,1101031,2,3290,3292
4,1100930,2,3292,3292
4,1100831,2,3292,3292
4,1100731,2,3292,3242
4,1100630,2,3242,3235
4,1100531,2,3235,3235
4,1100430,2,3235,3142
4,1100331,2,3142,3142
4,1100228,2,3142,3142
4,1100131,2,3142,3142
4,1091231,2,3142,3142
4,1091130,2,3142,3116
4,1091031,2,3116,3116
4,1090930,2,3116,3413
4,1090831,2,3413,3352
4,1090731,2,3352,3272
4,1090630,2,3272,3182
4,1090531,2,3182,3023
4,1090430,2,3023,3023
4,1090331,2,3023,3023
4,1090229,2,3023,3023
4,1090131,2,3023,2887
4,1081231,2,2887,2887
4,1081130,2,2887,2887
4,1081031,2,2887,2887
4,1080930,2,2887,2887
4,1080831,2,2887,2887
4,1080731,2,2887,2861
4,1080630,2,2861,2818
4,1080531,2,2818,2820
4,1080430,2,2820,2824
4,1080331,2,2824,2747
4,1080228,2,2747,2747
4,1080131,2,2747,2747
