縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
4,1120531,5,3437,3437
4,1120430,5,3437,3437
4,1120331,5,3437,3437
4,1120228,5,3437,3436
4,1120131,5,3436,3424
4,1111231,5,3424,3424
4,1111130,5,3424,3405
4,1111031,5,3405,3405
4,1110930,5,3405,3405
4,1110831,5,3405,3392
4,1110731,5,3392,3349
4,1110630,5,3349,3325
4,1110531,5,3325,3301
4,1110430,5,3301,3303
4,1110331,5,3303,3302
4,1110228,5,3302,3313
4,1110131,5,3313,3313
4,1101231,5,3313,3309
4,1101130,5,3309,3310
4,1101031,5,3310,3306
4,1100930,5,3306,3306
4,1100831,5,3306,3312
4,1100731,5,3312,3275
4,1100630,5,3275,3275
4,1100531,5,3275,3275
4,1100430,5,3275,3280
4,1100331,5,3280,3277
4,1100228,5,3277,3277
4,1100131,5,3277,3274
4,1091231,5,3274,3259
4,1091130,5,3259,3259
4,1091031,5,3259,3258
4,1090930,5,3258,3519
4,1090831,5,3519,3358
4,1090731,5,3358,3309
4,1090630,5,3309,3309
4,1090531,5,3309,3219
4,1090430,5,3219,3219
4,1090331,5,3219,3198
4,1090229,5,3198,3198
4,1090131,5,3198,3176
4,1081231,5,3176,3176
4,1081130,5,3176,3155
4,1081031,5,3155,3155
4,1080930,5,3155,3154
4,1080831,5,3154,3135
4,1080731,5,3135,3135
4,1080630,5,3135,3108
4,1080531,5,3108,3115
4,1080430,5,3115,3117
4,1080331,5,3117,3104
4,1080228,5,3104,3086
4,1080131,5,3086,3086
