縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
5,1101031,4,869,869
5,1100930,4,869,868
5,1100831,4,868,858
5,1100731,4,858,842
5,1100630,4,842,830
5,1100531,4,830,830
5,1100430,4,830,831
5,1100331,4,831,831
5,1100228,4,831,831
5,1100131,4,831,832
5,1091231,4,832,900
5,1091130,4,900,899
5,1091031,4,899,899
5,1090930,4,899,903
5,1090831,4,903,905
5,1090731,4,905,899
5,1090630,4,899,899
5,1090531,4,899,878
5,1090430,4,878,878
5,1090331,4,878,860
5,1090229,4,860,860
5,1090131,4,860,864
5,1081231,4,864,864
5,1081130,4,864,850
5,1081031,4,850,814
5,1080930,4,814,805
5,1080831,4,805,807
5,1080731,4,807,807
5,1080630,4,807,805
5,1080531,4,805,803
5,1080430,4,803,792
5,1080331,4,792,784
5,1080228,4,784,781
5,1080131,4,781,781
6,1120531,4,1315,1315
6,1120430,4,1315,1315
6,1120331,4,1315,1315
6,1120228,4,1315,1315
6,1120131,4,1315,1315
6,1111231,4,1315,1315
6,1111130,4,1315,1300
6,1111031,4,1300,1300
6,1110930,4,1300,1299
6,1110831,4,1299,1299
6,1110731,4,1299,1262
6,1110630,4,1262,1283
6,1110531,4,1283,1283
6,1110430,4,1283,1283
6,1110331,4,1283,1284
6,1110228,4,1284,1284
6,1110131,4,1284,1285
6,1101231,4,1285,1285
6,1101130,4,1285,1285
6,1101031,4,1285,1286
6,1100930,4,1286,1281
6,1100831,4,1281,1275
6,1100731,4,1275,1257
6,1100630,4,1257,1239
6,1100531,4,1239,1240
6,1100430,4,1240,1240
6,1100331,4,1240,1243
6,1100228,4,1243,1243
6,1100131,4,1243,1245
6,1091231,4,1245,1375
6,1091130,4,1375,1374
6,1091031,4,1374,1374
6,1090930,4,1374,1374
6,1090831,4,1374,1378
6,1090731,4,1378,1363
6,1090630,4,1363,1363
6,1090531,4,1363,1342
6,1090430,4,1342,1344
6,1090331,4,1344,1319
6,1090229,4,1319,1319
6,1090131,4,1319,1319
6,1081231,4,1319,1319
6,1081130,4,1319,1305
6,1081031,4,1305,1248
6,1080930,4,1248,1240
6,1080831,4,1240,1240
6,1080731,4,1240,1240
6,1080630,4,1240,1239
6,1080531,4,1239,1225
6,1080430,4,1225,1198
6,1080331,4,1198,1183
6,1080228,4,1183,1164
6,1080131,4,1164,1164
7,1120531,4,221,221
7,1120430,4,221,221
7,1120331,4,221,221
7,1120228,4,221,221
7,1120131,4,221,221
7,1111231,4,221,221
7,1111130,4,221,232
7,1111031,4,232,219
7,1110930,4,219,219
7,1110831,4,219,230
7,1110731,4,230,230
7,1110630,4,230,230
7,1110531,4,230,230
7,1110430,4,230,230
7,1110331,4,230,230
7,1110228,4,230,230
7,1110131,4,230,230
7,1101231,4,230,230
7,1101130,4,230,230
7,1101031,4,230,233
7,1100930,4,233,233
7,1100831,4,233,221
7,1100731,4,221,221
7,1100630,4,221,221
7,1100531,4,221,218
7,1100430,4,218,218
7,1100331,4,218,218
7,1100228,4,218,230
7,1100131,4,230,230
7,1091231,4,230,230
7,1091130,4,230,226
7,1091031,4,226,226
7,1090930,4,226,226
7,1090831,4,226,224
7,1090731,4,224,224
7,1090630,4,224,224
7,1090531,4,224,221
7,1090430,4,221,221
7,1090331,4,221,215
7,1090229,4,215,215
7,1090131,4,215,215
7,1081231,4,215,215
7,1081130,4,215,209
7,1081031,4,209,209
7,1080930,4,209,207
7,1080831,4,207,204
7,1080731,4,204,201
7,1080630,4,201,201
7,1080531,4,201,201
7,1080430,4,201,191
7,1080331,4,191,167
7,1080228,4,167,167
7,1080131,4,167,167
8,1120531,4,201,201
8,1120430,4,201,202
8,1120331,4,202,202
8,1120228,4,202,202
8,1120131,4,202,202
8,1111231,4,202,208
8,1111130,4,208,208
8,1111031,4,208,209
8,1110930,4,209,201
8,1110831,4,201,201
8,1110731,4,201,201
