縣市,統計期,業者名稱,基地臺
2,1120531,2,2751
2,1120430,2,2724
2,1120331,2,2724
2,1120228,2,2724
2,1120131,2,2742
2,1111231,2,2759
2,1111130,2,2754
2,1111031,2,2757
2,1110930,2,2751
2,1110831,2,2719
2,1110731,2,2720
2,1110630,2,2692
2,1110531,2,2676
2,1110430,2,2676
2,1110331,2,2676
2,1110228,2,2669
2,1110131,2,2669
2,1101231,2,2659
2,1101130,2,2659
2,1101031,2,2659
2,1100930,2,2641
2,1100831,2,2627
2,1100731,2,2612
2,1100630,2,2612
2,1100531,2,2610
2,1100430,2,2656
2,1100331,2,2656
2,1100228,2,2658
2,1100131,2,2658
2,1091231,2,2658
2,1091130,2,2641
2,1091031,2,2641
2,1090930,2,2887
2,1090831,2,2852
2,1090731,2,2741
2,1090630,2,2686
2,1090531,2,2614
2,1090430,2,2614
2,1090331,2,2614
2,1090229,2,2606
2,1090131,2,2606
2,1081231,2,2606
2,1081130,2,2572
2,1081031,2,2580
2,1080930,2,2580
2,1080831,2,2571
2,1080731,2,2564
2,1080630,2,2556
2,1080531,2,2517
2,1080430,2,2519
2,1080331,2,2519
2,1080228,2,2519
2,1080131,2,2519
