縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
10,1120531,5,724,724
10,1120430,5,724,724
10,1120331,5,724,722
10,1120228,5,722,722
10,1120131,5,722,722
10,1111231,5,722,722
10,1111130,5,722,690
10,1111031,5,690,690
10,1110930,5,690,690
10,1110831,5,690,690
10,1110731,5,690,684
10,1110630,5,684,684
10,1110531,5,684,684
10,1110430,5,684,684
10,1110331,5,684,684
10,1110228,5,684,684
10,1110131,5,684,684
10,1101231,5,684,684
10,1101130,5,684,684
10,1101031,5,684,684
10,1100930,5,684,684
10,1100831,5,684,684
10,1100731,5,684,684
10,1100630,5,684,684
10,1100531,5,684,684
10,1100430,5,684,684
10,1100331,5,684,684
10,1100228,5,684,684
10,1100131,5,684,684
10,1091231,5,684,684
10,1091130,5,684,684
10,1091031,5,684,684
10,1090930,5,684,680
10,1090831,5,680,678
10,1090731,5,678,678
10,1090630,5,678,678
10,1090531,5,678,678
10,1090430,5,678,678
10,1090331,5,678,678
10,1090229,5,678,679
10,1090131,5,679,679
10,1081231,5,679,679
10,1081130,5,679,679
10,1081031,5,679,679
10,1080930,5,679,678
10,1080831,5,678,677
10,1080731,5,677,678
10,1080630,5,678,666
10,1080531,5,666,660
10,1080430,5,660,660
10,1080331,5,660,660
10,1080228,5,660,649
10,1080131,5,649,649
