縣市,統計期,業者名稱,基地臺
16,1120531,5,1069
16,1120430,5,1065
16,1120331,5,1064
16,1120228,5,1063
16,1120131,5,1063
16,1111231,5,1063
16,1111130,5,1058
16,1111031,5,1049
16,1110930,5,1049
16,1110831,5,1049
16,1110731,5,1049
16,1110630,5,1022
16,1110531,5,1022
16,1110430,5,1016
16,1110331,5,1016
16,1110228,5,1016
16,1110131,5,1015
16,1101231,5,1015
16,1101130,5,1014
16,1101031,5,1013
16,1100930,5,1006
16,1100831,5,1006
16,1100731,5,1006
16,1100630,5,1006
16,1100531,5,1006
16,1100430,5,1003
16,1100331,5,1003
16,1100228,5,1008
16,1100131,5,1008
16,1091231,5,1008
16,1091130,5,1004
16,1091031,5,1004
16,1090930,5,990
16,1090831,5,990
16,1090731,5,990
16,1090630,5,990
16,1090531,5,996
16,1090430,5,989
16,1090331,5,989
16,1090229,5,982
16,1090131,5,983
16,1081231,5,983
16,1081130,5,978
16,1081031,5,978
16,1080930,5,978
16,1080831,5,969
16,1080731,5,958
16,1080630,5,955
16,1080531,5,945
16,1080430,5,928
16,1080331,5,923
16,1080228,5,923
16,1080131,5,910
