縣市,統計期,業者名稱,基地臺
10,1120531,3,522
10,1120430,3,522
10,1120331,3,522
10,1120228,3,522
10,1120131,3,522
10,1111231,3,522
10,1111130,3,522
10,1111031,3,522
10,1110930,3,522
10,1110831,3,522
10,1110731,3,522
10,1110630,3,522
10,1110531,3,522
10,1110430,3,522
10,1110331,3,518
10,1110228,3,518
10,1110131,3,518
10,1101231,3,518
10,1101130,3,517
10,1101031,3,517
10,1100930,3,517
10,1100831,3,517
10,1100731,3,517
10,1100630,3,517
10,1100531,3,517
10,1100430,3,517
10,1100331,3,517
10,1100228,3,517
10,1100131,3,517
10,1091231,3,516
10,1091130,3,514
10,1091031,3,514
10,1090930,3,507
10,1090831,3,509
10,1090731,3,509
10,1090630,3,509
10,1090531,3,502
10,1090430,3,502
10,1090331,3,502
10,1090229,3,502
10,1090131,3,502
10,1081231,3,502
10,1081130,3,498
10,1081031,3,498
10,1080930,3,498
10,1080831,3,498
10,1080731,3,498
10,1080630,3,498
10,1080531,3,498
10,1080430,3,486
10,1080331,3,486
10,1080228,3,486
10,1080131,3,485
