縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
1,1120531,2,2667,2667
1,1120430,2,2667,2652
1,1120331,2,2652,2652
1,1120228,2,2652,2652
1,1120131,2,2652,2666
1,1111231,2,2666,2686
1,1111130,2,2686,2687
1,1111031,2,2687,2673
1,1110930,2,2673,2670
1,1110831,2,2670,2649
1,1110731,2,2649,2649
1,1110630,2,2649,2649
1,1110531,2,2649,2638
1,1110430,2,2638,2645
1,1110331,2,2645,2645
1,1110228,2,2645,2630
1,1110131,2,2630,2630
1,1101231,2,2630,2617
1,1101130,2,2617,2617
1,1101031,2,2617,2617
1,1100930,2,2617,2617
1,1100831,2,2617,2600
1,1100731,2,2600,2584
1,1100630,2,2584,2584
1,1100531,2,2584,2584
1,1100430,2,2584,2636
1,1100331,2,2636,2636
1,1100228,2,2636,2636
1,1100131,2,2636,2636
1,1091231,2,2636,2636
1,1091130,2,2636,2627
1,1091031,2,2627,2627
1,1090930,2,2627,2812
1,1090831,2,2812,2749
1,1090731,2,2749,2705
1,1090630,2,2705,2662
1,1090531,2,2662,2586
1,1090430,2,2586,2586
1,1090331,2,2586,2586
1,1090229,2,2586,2577
1,1090131,2,2577,2577
1,1081231,2,2577,2577
1,1081130,2,2577,2547
1,1081031,2,2547,2549
1,1080930,2,2549,2549
1,1080831,2,2549,2531
1,1080731,2,2531,2524
1,1080630,2,2524,2514
1,1080531,2,2514,2495
1,1080430,2,2495,2495
1,1080331,2,2495,2500
1,1080228,2,2500,2500
1,1080131,2,2500,2500
