縣市,統計期,業者名稱,基地臺
11,1120531,2,887
11,1120430,2,887
11,1120331,2,880
11,1120228,2,872
11,1120131,2,887
11,1111231,2,887
11,1111130,2,887
11,1111031,2,887
11,1110930,2,884
11,1110831,2,884
11,1110731,2,884
11,1110630,2,884
11,1110531,2,884
11,1110430,2,868
11,1110331,2,854
11,1110228,2,854
11,1110131,2,852
11,1101231,2,852
11,1101130,2,852
11,1101031,2,852
11,1100930,2,852
11,1100831,2,852
11,1100731,2,844
11,1100630,2,839
11,1100531,2,839
11,1100430,2,828
11,1100331,2,828
11,1100228,2,828
11,1100131,2,828
11,1091231,2,828
11,1091130,2,823
11,1091031,2,823
11,1090930,2,826
11,1090831,2,823
11,1090731,2,823
11,1090630,2,823
11,1090531,2,810
11,1090430,2,810
11,1090331,2,810
11,1090229,2,810
11,1090131,2,790
11,1081231,2,790
11,1081130,2,790
11,1081031,2,790
11,1080930,2,790
11,1080831,2,790
11,1080731,2,788
11,1080630,2,782
11,1080531,2,782
11,1080430,2,782
11,1080331,2,763
11,1080228,2,763
11,1080131,2,763
