縣市,統計期,業者名稱,基地臺
4,1120531,3,2167
4,1120430,3,2167
4,1120331,3,2167
4,1120228,3,2167
4,1120131,3,2167
4,1111231,3,2167
4,1111130,3,2167
4,1111031,3,2167
4,1110930,3,2167
4,1110831,3,2167
4,1110731,3,2167
4,1110630,3,2167
4,1110531,3,2167
4,1110430,3,2167
4,1110331,3,2136
4,1110228,3,2136
4,1110131,3,2136
4,1101231,3,2129
4,1101130,3,2129
4,1101031,3,2129
4,1100930,3,2129
4,1100831,3,2133
4,1100731,3,2133
4,1100630,3,2133
4,1100531,3,2115
4,1100430,3,2106
4,1100331,3,2106
4,1100228,3,2106
4,1100131,3,2106
4,1091231,3,2094
4,1091130,3,2026
4,1091031,3,2026
4,1090930,3,2105
4,1090831,3,2108
4,1090731,3,2108
4,1090630,3,2072
4,1090531,3,2058
4,1090430,3,2058
4,1090331,3,2027
4,1090229,3,2002
4,1090131,3,2002
4,1081231,3,2002
4,1081130,3,1972
4,1081031,3,1972
4,1080930,3,1926
4,1080831,3,1926
4,1080731,3,1926
4,1080630,3,1926
4,1080531,3,1926
4,1080430,3,1874
4,1080331,3,1876
4,1080228,3,1876
4,1080131,3,1876
