縣市,基地臺
19,617
5,2112
20,200
17,994
18,937
21,256
13,1199
16,1074
11,1304
3,2119
6,3259
7,401
22,91
14,1281
2,3388
8,641
10,1000
9,358
15,987
12,1882
4,5123
1,3155
19,620
5,2219
20,201
17,995
18,936
21,237
13,1194
16,1065
11,1289
3,2106
6,3188
7,393
22,90
14,1266
2,3331
8,641
10,1000
9,355
15,981
12,1828
4,4993
1,3088
19,611
5,2157
20,201
17,987
18,936
21,237
13,1192
16,1059
11,1289
3,2085
6,3142
7,386
22,90
14,1262
2,3286
8,641
10,1000
9,338
15,973
12,1809
4,4935
1,3049
19,611
5,2148
20,201
17,980
18,921
21,237
13,1188
16,1059
11,1268
3,2085
6,3120
7,386
22,86
14,1255
2,3264
8,641
10,1000
9,338
15,973
12,1796
4,4930
1,3048
19,611
5,2120
20,201
17,980
18,916
21,237
13,1188
16,1060
11,1269
3,2070
6,3047
7,386
22,86
14,1258
2,3210
8,608
10,998
9,338
15,973
12,1798
4,4845
1,2900
19,611
5,2106
20,201
17,980
18,920
21,237
13,1185
16,1060
11,1257
3,2070
6,3048
7,386
22,86
14,1241
2,3210
8,605
10,970
9,338
15,973
12,1790
4,4833
1,2900
19,611
5,2108
20,201
17,980
18,920
21,231
13,1182
16,1064
11,1255
3,2070
6,3034
7,368
22,86
14,1238
2,3194
8,605
10,970
9,338
15,970
12,1786
4,4791
1,2884
19,602
5,2102
20,201
17,982
18,920
21,231
13,1175
16,1064
11,1242
3,2070
6,3034
7,368
22,86
14,1220
2,3194
8,605
10,970
9,338
15,970
12,1755
4,4770
1,2884
19,602
5,2102
20,201
17,956
18,899
21,219
13,1175
16,1060
11,1242
3,2062
6,3019
7,368
22,86
14,1220
2,3187
8,605
10,970
9,338
15,963
12,1755
4,4770
1,2846
19,600
5,2098
20,201
17,931
18,894
21,210
13,1169
16,1052
11,1225
3,2043
6,3003
7,368
22,86
14,1204
2,3189
8,605
10,970
9,338
15,935
12,1740
4,4742
1,2846
19,599
5,2072
20,201
17,926
18,888
21,204
13,1157
16,1046
11,1203
3,2039
6,2978
7,355
22,86
14,1165
2,3085
8,605
10,970
9,338
15,921
12,1687
4,4637
1,2788
19,593
5,2058
20,203
17,902
18,874
21,203
13,1149
16,1035
11,1183
3,2032
6,2943
7,355
22,86
14,1138
2,3032
8,605
10,970
9,338
15,908
12,1654
4,4549
1,2788
19,583
5,2041
20,200
17,894
18,863
21,203
13,1140
16,1035
11,1171
3,1990
6,2945
7,346
22,86
14,1130
2,2994
8,582
10,946
9,339
15,907
12,1642
4,4490
1,2749
19,582
5,2042
20,200
17,894
18,863
21,198
13,1135
16,1026
11,1160
3,1990
6,2891
7,346
22,86
14,1117
2,2995
8,582
10,946
9,335
15,889
12,1621
4,4454
1,2749
19,582
5,1987
20,200
17,888
18,856
21,198
13,1124
16,1017
11,1157
3,1972
6,2881
7,344
22,86
14,1112
2,2871
8,582
10,946
9,334
15,888
12,1585
4,4406
1,2707
19,574
5,1976
20,199
17,880
18,852
21,197
13,1110
16,1003
11,1147
3,1981
6,2815
7,343
22,84
14,1101
2,2888
8,580
10,936
9,332
15,881
12,1568
4,4369
1,2708
19,566
5,1937
20,196
17,875
18,851
21,191
13,1108
16,995
11,1142
3,1939
6,2786
7,334
22,84
14,1096
2,2924
8,581
10,930
9,332
15,865
12,1559
4,4364
1,2737
19,564
5,1918
20,195
17,874
18,843
21,189
13,1098
16,963
11,1127
3,1913
6,2771
7,322
22,84
14,1080
2,2895
8,581
10,932
9,322
15,851
12,1545
4,4338
1,2723
19,545
5,1877
20,192
17,874
18,843
21,186
13,1098
16,946
11,1127
3,1913
6,2737
7,322
22,84
14,1080
2,2895
8,581
10,932
9,320
15,825
12,1545
4,4340
1,2723
19,533
5,1855
20,189
17,874
18,844
21,186
13,986
16,946
11,1092
3,1908
6,2737
7,322
22,84
14,1006
2,2810
8,581
10,932
9,320
15,825
12,1487
4,4179
1,2723
19,533
5,1855
20,189
17,874
18,844
21,186
13,986
16,946
11,1092
3,1908
6,2737
7,322
22,84
14,1006
2,2810
8,581
10,932
9,320
15,825
12,1487
4,4179
1,2723
19,533
5,1850
20,189
17,643
18,703
21,124
13,862
16,969
11,887
3,2014
6,2472
7,300
22,39
14,759
2,2751
8,407
10,732
9,261
15,620
12,1225
4,3641
1,2667
19,452
5,1864
20,166
17,644
18,702
21,126
13,863
16,970
11,887
3,2001
6,2478
7,295
22,39
14,761
2,2724
8,407
10,732
9,262
15,611
12,1230
4,3653
1,2652
19,453
5,1831
20,167
17,644
18,702
21,127
13,858
16,975
11,880
3,1998
6,2484
7,295
22,39
14,747
2,2724
8,407
10,732
9,265
15,612
12,1223
4,3587
1,2652
19,454
5,1834
20,167
17,644
18,702
21,128
13,859
16,979
11,872
3,1998
6,2487
7,295
22,39
14,748
2,2724
8,407
10,732
9,266
15,614
12,1219
4,3572
1,2652
19,454
5,1836
20,170
