縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
9,1120531,5,220,220
9,1120430,5,220,219
9,1120331,5,219,219
9,1120228,5,219,219
9,1120131,5,219,219
9,1111231,5,219,219
9,1111130,5,219,214
9,1111031,5,214,214
9,1110930,5,214,214
9,1110831,5,214,214
9,1110731,5,214,213
9,1110630,5,213,213
9,1110531,5,213,213
9,1110430,5,213,207
9,1110331,5,207,207
9,1110228,5,207,207
9,1110131,5,207,207
9,1101231,5,207,207
9,1101130,5,207,207
9,1101031,5,207,207
9,1100930,5,207,207
9,1100831,5,207,205
9,1100731,5,205,205
9,1100630,5,205,205
9,1100531,5,205,205
9,1100430,5,205,204
9,1100331,5,204,204
9,1100228,5,204,204
9,1100131,5,204,204
9,1091231,5,204,204
9,1091130,5,204,204
9,1091031,5,204,204
9,1090930,5,204,229
9,1090831,5,229,202
9,1090731,5,202,202
9,1090630,5,202,202
9,1090531,5,202,202
9,1090430,5,202,200
9,1090331,5,200,200
9,1090229,5,200,200
9,1090131,5,200,200
9,1081231,5,200,200
9,1081130,5,200,203
9,1081031,5,203,204
9,1080930,5,204,204
9,1080831,5,204,204
9,1080731,5,204,204
9,1080630,5,204,204
9,1080531,5,204,204
9,1080430,5,204,198
9,1080331,5,198,198
9,1080228,5,198,198
9,1080131,5,198,196
