縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
7,1120531,1,386,386
7,1120430,1,386,386
7,1120331,1,386,386
7,1120228,1,386,381
7,1120131,1,381,383
7,1111231,1,383,383
7,1111130,1,383,375
7,1111031,1,375,375
7,1110930,1,375,375
7,1110831,1,375,369
7,1110731,1,369,368
7,1110630,1,368,361
7,1110531,1,361,361
7,1110430,1,361,361
7,1110331,1,361,361
7,1110228,1,361,361
7,1110131,1,361,361
7,1101231,1,361,358
7,1101130,1,358,360
7,1101031,1,360,360
7,1100930,1,360,349
7,1100831,1,349,349
7,1100731,1,349,349
7,1100630,1,349,338
7,1100531,1,338,338
7,1100430,1,338,338
7,1100331,1,338,368
7,1100228,1,368,392
7,1100131,1,392,392
7,1091231,1,392,392
7,1091130,1,392,390
7,1091031,1,390,390
7,1090930,1,390,401
7,1090831,1,401,393
7,1090731,1,393,386
7,1090630,1,386,386
7,1090531,1,386,386
7,1090430,1,386,386
7,1090331,1,386,368
7,1090229,1,368,368
7,1090131,1,368,368
7,1081231,1,368,368
7,1081130,1,368,355
7,1081031,1,355,355
7,1080930,1,355,346
7,1080831,1,346,346
7,1080731,1,346,344
7,1080630,1,344,343
7,1080531,1,343,334
7,1080430,1,334,322
7,1080331,1,322,322
7,1080228,1,322,322
7,1080131,1,322,322
