縣市,統計期,業者名稱,基地臺
14,1120531,3,459
14,1120430,3,459
14,1120331,3,459
14,1120228,3,459
14,1120131,3,460
14,1111231,3,460
14,1111130,3,460
14,1111031,3,460
14,1110930,3,460
14,1110831,3,460
14,1110731,3,460
14,1110630,3,460
14,1110531,3,460
14,1110430,3,460
14,1110331,3,454
14,1110228,3,454
14,1110131,3,454
14,1101231,3,454
14,1101130,3,454
14,1101031,3,454
14,1100930,3,454
14,1100831,3,454
14,1100731,3,454
14,1100630,3,454
14,1100531,3,445
14,1100430,3,445
14,1100331,3,445
14,1100228,3,445
14,1100131,3,445
14,1091231,3,445
14,1091130,3,486
14,1091031,3,486
14,1090930,3,445
14,1090831,3,445
14,1090731,3,445
14,1090630,3,445
14,1090531,3,445
14,1090430,3,445
14,1090331,3,436
14,1090229,3,430
14,1090131,3,430
14,1081231,3,430
14,1081130,3,429
14,1081031,3,429
14,1080930,3,423
14,1080831,3,423
14,1080731,3,423
14,1080630,3,423
14,1080531,3,423
14,1080430,3,419
14,1080331,3,419
14,1080228,3,419
14,1080131,3,419
