縣市,統計期,業者名稱,基地臺
21,1120531,5,139
21,1120430,5,139
21,1120331,5,139
21,1120228,5,139
21,1120131,5,139
21,1111231,5,139
21,1111130,5,139
21,1111031,5,139
21,1110930,5,139
21,1110831,5,138
21,1110731,5,140
21,1110630,5,140
21,1110531,5,140
21,1110430,5,139
21,1110331,5,139
21,1110228,5,139
21,1110131,5,139
21,1101231,5,139
21,1101130,5,139
21,1101031,5,139
21,1100930,5,139
21,1100831,5,139
21,1100731,5,139
21,1100630,5,139
21,1100531,5,139
21,1100430,5,139
21,1100331,5,139
21,1100228,5,139
21,1100131,5,139
21,1091231,5,139
21,1091130,5,130
21,1091031,5,130
21,1090930,5,130
21,1090831,5,130
21,1090731,5,130
21,1090630,5,130
21,1090531,5,130
21,1090430,5,130
21,1090331,5,130
21,1090229,5,123
21,1090131,5,123
21,1081231,5,123
21,1081130,5,123
21,1081031,5,123
21,1080930,5,123
21,1080831,5,123
21,1080731,5,123
21,1080630,5,123
21,1080531,5,123
21,1080430,5,123
21,1080331,5,120
21,1080228,5,120
21,1080131,5,120
