縣市,統計期,業者名稱,基地臺
12,1120531,3,697
12,1120430,3,697
12,1120331,3,697
12,1120228,3,697
12,1120131,3,697
12,1111231,3,697
12,1111130,3,697
12,1111031,3,697
12,1110930,3,697
12,1110831,3,699
12,1110731,3,699
12,1110630,3,699
12,1110531,3,699
12,1110430,3,699
12,1110331,3,689
12,1110228,3,689
12,1110131,3,689
12,1101231,3,688
12,1101130,3,688
12,1101031,3,688
12,1100930,3,688
12,1100831,3,688
12,1100731,3,688
12,1100630,3,688
12,1100531,3,685
12,1100430,3,685
12,1100331,3,685
12,1100228,3,685
12,1100131,3,685
12,1091231,3,685
12,1091130,3,734
12,1091031,3,734
12,1090930,3,685
12,1090831,3,685
12,1090731,3,685
12,1090630,3,681
12,1090531,3,668
12,1090430,3,668
12,1090331,3,658
12,1090229,3,651
12,1090131,3,651
12,1081231,3,651
12,1081130,3,645
12,1081031,3,645
12,1080930,3,629
12,1080831,3,629
12,1080731,3,629
12,1080630,3,629
12,1080531,3,629
12,1080430,3,612
12,1080331,3,612
12,1080228,3,612
12,1080131,3,612
