縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
13,1120531,3,527,527
13,1120430,3,527,527
13,1120331,3,527,527
13,1120228,3,527,527
13,1120131,3,527,527
13,1111231,3,527,527
13,1111130,3,527,527
13,1111031,3,527,527
13,1110930,3,527,527
13,1110831,3,527,527
13,1110731,3,527,527
13,1110630,3,527,527
13,1110531,3,527,527
13,1110430,3,527,527
13,1110331,3,527,522
13,1110228,3,522,522
13,1110131,3,522,522
13,1101231,3,522,522
13,1101130,3,522,513
13,1101031,3,513,513
13,1100930,3,513,513
13,1100831,3,513,513
13,1100731,3,513,513
13,1100630,3,513,513
13,1100531,3,513,505
13,1100430,3,505,505
13,1100331,3,505,505
13,1100228,3,505,505
13,1100131,3,505,505
13,1091231,3,505,476
13,1091130,3,476,476
13,1091031,3,476,475
13,1090930,3,475,467
13,1090831,3,467,467
13,1090731,3,467,467
13,1090630,3,467,467
13,1090531,3,467,464
13,1090430,3,464,464
13,1090331,3,464,464
13,1090229,3,464,458
13,1090131,3,458,458
13,1081231,3,458,458
13,1081130,3,458,454
13,1081031,3,454,454
13,1080930,3,454,440
13,1080831,3,440,440
13,1080731,3,440,441
13,1080630,3,441,441
13,1080531,3,441,441
13,1080430,3,441,438
13,1080331,3,438,438
13,1080228,3,438,438
13,1080131,3,438,438
