縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
16,1120531,3,702,702
16,1120430,3,702,702
16,1120331,3,702,704
16,1120228,3,704,704
16,1120131,3,704,704
16,1111231,3,704,704
16,1111130,3,704,704
16,1111031,3,704,704
16,1110930,3,704,704
16,1110831,3,704,704
16,1110731,3,704,704
16,1110630,3,704,704
16,1110531,3,704,704
16,1110430,3,704,703
16,1110331,3,703,703
16,1110228,3,703,703
16,1110131,3,703,703
16,1101231,3,703,695
16,1101130,3,695,695
16,1101031,3,695,695
16,1100930,3,695,693
16,1100831,3,693,693
16,1100731,3,693,693
16,1100630,3,693,693
16,1100531,3,693,692
16,1100430,3,692,692
16,1100331,3,692,691
16,1100228,3,691,691
16,1100131,3,691,690
16,1091231,3,690,680
16,1091130,3,680,680
16,1091031,3,680,676
16,1090930,3,676,679
16,1090831,3,679,668
16,1090731,3,668,668
16,1090630,3,668,665
16,1090531,3,665,657
16,1090430,3,657,657
16,1090331,3,657,656
16,1090229,3,656,648
16,1090131,3,648,648
16,1081231,3,648,648
16,1081130,3,648,643
16,1081031,3,643,643
16,1080930,3,643,636
16,1080831,3,636,634
16,1080731,3,634,634
16,1080630,3,634,634
16,1080531,3,634,631
16,1080430,3,631,631
16,1080331,3,631,627
16,1080228,3,627,620
16,1080131,3,620,620
