統計期,基地臺
1100731,1193
1100731,1055
1100731,1288
1100731,2056
1100731,2981
1100731,349
1100731,92
1100731,1259
1100731,2891
1100731,612
1100731,1009
1100731,332
1100731,946
1100731,1808
1100731,4820
1100731,2707
1100731,624
1100731,2044
1100731,191
1100630,954
1100630,928
1100630,250
1100630,1192
1100630,1055
1100630,1288
1100630,2056
1100630,2982
1100630,338
1100630,92
1100630,1259
1100630,2892
1100630,611
1100630,1007
1100630,332
1100630,946
1100630,1808
1100630,4819
1100630,2676
1100630,624
1100630,2049
1100630,191
1100531,954
1100531,930
1100531,250
1100531,1193
1100531,1055
1100531,1288
1100531,2056
1100531,2983
1100531,338
1100531,92
1100531,1259
1100531,2892
1100531,611
1100531,1007
1100531,333
1100531,946
1100531,1808
1100531,4820
1100531,2676
1100531,624
1100531,2049
1100531,191
1100430,954
1100430,930
1100430,250
1100430,1193
1100430,1055
1100430,1288
1100430,2056
1100430,2980
1100430,338
1100430,92
1100430,1259
1100430,2892
1100430,611
1100430,1006
1100430,333
1100430,946
1100430,1808
1100430,4822
1100430,2678
1100430,624
1100430,2051
1100430,191
1100331,986
1100331,938
1100331,250
1100331,1193
1100331,1055
1100331,1287
1100331,2091
1100331,2980
1100331,368
1100331,92
1100331,1259
1100331,3226
1100331,611
1100331,1006
1100331,333
1100331,946
1100331,1808
1100331,4822
1100331,2835
1100331,624
1100331,2045
1100331,191
1100228,997
1100228,945
1100228,252
1100228,1193
1100228,1054
1100228,1288
1100228,2098
1100228,2979
1100228,392
1100228,92
1100228,1259
1100228,3261
1100228,611
1100228,1006
1100228,334
1100228,946
1100228,1805
1100228,4824
1100228,2922
1100228,624
1100228,2045
1100228,191
1100131,997
1100131,945
1100131,250
1100131,1193
1100131,1050
1100131,1288
1100131,2098
1100131,2970
1100131,392
1100131,92
1100131,1259
1100131,3261
1100131,611
1100131,1006
1100131,334
1100131,942
1100131,1805
1100131,4823
1100131,2922
1100131,623
1100131,2041
1100131,191
1091231,998
1091231,945
1091231,257
1091231,1193
1091231,1063
1091231,1288
1091231,2098
1091231,3074
1091231,392
1091231,92
1091231,1258
1091231,3261
1091231,608
1091231,998
1091231,340
1091231,971
1091231,1808
1091231,4824
1091231,2922
1091231,625
1091231,2101
1091231,199
1091130,991
1091130,936
1091130,256
1091130,1192
1091130,1065
1091130,1288
1091130,2087
1091130,3082
1091130,390
1091130,90
1091130,1259
1091130,3257
1091130,608
1091130,998
1091130,342
1091130,972
1091130,1808
1091130,4832
1091130,2907
1091130,626
1091130,2112
1091130,200
1091031,991
1091031,936
1091031,256
1091031,1192
1091031,1061
1091031,1289
1091031,2087
1091031,3082
1091031,390
1091031,90
1091031,1259
1091031,3257
1091031,608
1091031,998
1091031,342
1091031,972
1091031,1808
1091031,4833
1091031,2907
1091031,617
1091031,2112
1091031,200
1090930,994
1090930,937
1090930,256
1090930,1199
1090930,1074
1090930,1304
1090930,2119
1090930,3259
1090930,401
1090930,91
1090930,1281
1090930,3388
1090930,641
1090930,1000
1090930,358
1090930,987
1090930,1882
1090930,5123
1090930,3155
1090930,620
1090930,2219
1090930,201
1090831,995
1090831,936
1090831,237
1090831,1194
1090831,1065
1090831,1289
1090831,2106
1090831,3188
1090831,393
1090831,90
1090831,1266
1090831,3331
1090831,641
1090831,1000
1090831,355
1090831,981
1090831,1828
1090831,4993
1090831,3088
1090831,611
1090831,2157
1090831,201
1090731,987
1090731,936
1090731,237
1090731,1192
1090731,1059
1090731,1289
1090731,2085
1090731,3142
1090731,386
1090731,90
1090731,1262
1090731,3286
1090731,641
1090731,1000
1090731,338
1090731,973
1090731,1809
1090731,4935
1090731,3049
1090731,611
1090731,2148
1090731,201
1090630,980
1090630,921
1090630,237
1090630,1188
1090630,1059
1090630,1268
1090630,2085
1090630,3120
1090630,386
1090630,86
1090630,1255
1090630,3264
1090630,641
1090630,1000
1090630,338
1090630,973
1090630,1796
1090630,4930
1090630,3048
1090630,611
1090630,2120
1090630,201
1090531,980
1090531,916
1090531,237
1090531,1188
1090531,1060
1090531,1269
1090531,2070
1090531,3047
1090531,386
1090531,86
1090531,1258
1090531,3210
1090531,608
1090531,998
1090531,338
1090531,973
1090531,1798
1090531,4845
1090531,2900
1090531,611
1090531,2106
1090531,201
1090430,980
1090430,920
1090430,237
1090430,1185
1090430,1060
1090430,1257
1090430,2070
1090430,3048
1090430,386
1090430,86
1090430,1241
1090430,3210
1090430,605
1090430,970
1090430,338
1090430,973
1090430,1790
1090430,4833
1090430,2900
1090430,611
1090430,2108
1090430,201
1090331,980
1090331,920
1090331,231
1090331,1182
1090331,1064
1090331,1255
1090331,2070
1090331,3034
1090331,368
1090331,86
1090331,1238
1090331,3194
1090331,605
1090331,970
1090331,338
1090331,970
1090331,1786
1090331,4791
1090331,2884
1090331,602
1090331,2102
1090331,201
1090229,982
1090229,920
1090229,231
1090229,1175
1090229,1064
1090229,1242
1090229,2070
1090229,3034
1090229,368
1090229,86
1090229,1220
1090229,3194
1090229,605
1090229,970
1090229,338
1090229,970
1090229,1755
1090229,4770
1090229,2884
1090229,602
1090229,2102
1090229,201
1090131,956
1090131,899
1090131,219
1090131,1175
1090131,1060
1090131,1242
1090131,2062
1090131,3019
1090131,368
1090131,86
1090131,1220
1090131,3187
1090131,605
1090131,970
1090131,338
1090131,963
1090131,1755
1090131,4770
1090131,2846
1090131,600
1090131,2098
1090131,201
1081231,931
1081231,894
1081231,210
1081231,1169
1081231,1052
1081231,1225
1081231,2043
1081231,3003
1081231,368
1081231,86
1081231,1204
1081231,3189
1081231,605
1081231,970
1081231,338
1081231,935
1081231,1740
1081231,4742
1081231,2846
1081231,599
1081231,2072
1081231,201
1081130,926
1081130,888
1081130,204
1081130,1157
1081130,1046
1081130,1203
1081130,2039
1081130,2978
1081130,355
1081130,86
1081130,1165
1081130,3085
1081130,605
1081130,970
1081130,338
1081130,921
1081130,1687
1081130,4637
1081130,2788
1081130,593
1081130,2058
1081130,203
1081031,902
1081031,874
1081031,203
1081031,1149
1081031,1035
1081031,1183
1081031,2032
1081031,2943
1081031,355
1081031,86
1081031,1138
1081031,3032
1081031,605
1081031,970
1081031,338
1081031,908
1081031,1654
1081031,4549
1081031,2788
1081031,583
1081031,2041
1081031,200
1080930,894
1080930,863
1080930,203
1080930,1140
1080930,1035
1080930,1171
1080930,1990
1080930,2945
1080930,346
1080930,86
1080930,1130
1080930,2994
1080930,582
1080930,946
1080930,339
1080930,907
1080930,1642
1080930,4490
1080930,2749
1080930,582
1080930,2042
1080930,200
1080831,894
1080831,863
1080831,198
1080831,1135
1080831,1026
1080831,1160
1080831,1990
1080831,2891
1080831,346
1080831,86
1080831,1117
1080831,2995
1080831,582
1080831,946
1080831,335
1080831,889
1080831,1621
1080831,4454
1080831,2749
1080831,582
1080831,1987
1080831,200
1080731,888
1080731,856
1080731,198
1080731,1124
1080731,1017
1080731,1157
1080731,1972
1080731,2881
1080731,344
1080731,86
1080731,1112
1080731,2871
1080731,582
1080731,946
1080731,334
1080731,888
1080731,1585
1080731,4406
1080731,2707
1080731,574
1080731,1976
1080731,199
1080630,880
1080630,852
1080630,197
1080630,1110
1080630,1003
1080630,1147
1080630,1981
1080630,2815
1080630,343
1080630,84
1080630,1101
1080630,2888
1080630,580
1080630,936
1080630,332
1080630,881
1080630,1568
1080630,4369
1080630,2708
1080630,566
1080630,1937
1080630,196
1080531,875
1080531,851
1080531,191
1080531,1108
1080531,995
1080531,1142
1080531,1939
1080531,2786
1080531,334
1080531,84
1080531,1096
1080531,2924
1080531,581
1080531,930
1080531,332
1080531,865
1080531,1559
1080531,4364
1080531,2737
1080531,564
1080531,1918
1080531,195
1080430,874
1080430,843
1080430,189
1080430,1098
1080430,963
1080430,1127
1080430,1913
1080430,2771
1080430,322
1080430,84
1080430,1080
1080430,2895
1080430,581
1080430,932
1080430,322
1080430,851
1080430,1545
1080430,4338
1080430,2723
1080430,545
1080430,1877
1080430,192
1080331,874
1080331,843
1080331,186
1080331,1098
1080331,946
1080331,1127
1080331,1913
1080331,2737
1080331,322
1080331,84
1080331,1080
1080331,2895
1080331,581
1080331,932
1080331,320
1080331,825
1080331,1545
1080331,4340
1080331,2723
1080331,533
1080331,1855
1080331,189
1080228,874
1080228,844
1080228,186
1080228,986
1080228,946
1080228,1092
1080228,1908
1080228,2737
1080228,322
1080228,84
1080228,1006
1080228,2810
1080228,581
1080228,932
1080228,320
1080228,825
1080228,1487
1080228,4179
1080228,2723
1080228,533
1080228,1855
1080228,189
1080131,874
1080131,844
1080131,186
1080131,986
1080131,946
1080131,1092
1080131,1908
1080131,2737
1080131,322
1080131,84
1080131,1006
1080131,2810
1080131,581
1080131,932
1080131,320
1080131,825
1080131,1487
1080131,4179
1080131,2723
1080131,533
1080131,1850
1080131,189
1120531,643
1120531,703
1120531,124
1120531,862
1120531,969
1120531,887
1120531,2014
1120531,2472
1120531,300
1120531,39
1120531,759
1120531,2751
1120531,407
1120531,732
1120531,261
1120531,620
1120531,1225
1120531,3641
1120531,2667
1120531,452
1120531,1864
1120531,166
1120430,644
1120430,702
1120430,126
1120430,863
1120430,970
1120430,887
1120430,2001
1120430,2478
1120430,295
1120430,39
1120430,761
1120430,2724
1120430,407
1120430,732
1120430,262
1120430,611
1120430,1230
1120430,3653
1120430,2652
1120430,453
1120430,1831
1120430,167
1120331,644
1120331,702
1120331,127
1120331,858
1120331,975
1120331,880
1120331,1998
1120331,2484
1120331,295
1120331,39
1120331,747
1120331,2724
1120331,407
1120331,732
1120331,265
1120331,612
1120331,1223
