縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
15,1120531,1,1034,1034
15,1120430,1,1034,1024
15,1120331,1,1024,1019
15,1120228,1,1019,1010
15,1120131,1,1010,1001
15,1111231,1,1001,998
15,1111130,1,998,998
15,1111031,1,998,998
15,1110930,1,998,999
15,1110831,1,999,989
15,1110731,1,989,986
15,1110630,1,986,978
15,1110531,1,978,979
15,1110430,1,979,974
15,1110331,1,974,968
15,1110228,1,968,968
15,1110131,1,968,968
15,1101231,1,968,969
15,1101130,1,969,969
15,1101031,1,969,970
15,1100930,1,970,958
15,1100831,1,958,958
15,1100731,1,958,946
15,1100630,1,946,946
15,1100531,1,946,946
15,1100430,1,946,946
15,1100331,1,946,946
15,1100228,1,946,946
15,1100131,1,946,942
15,1091231,1,942,971
15,1091130,1,971,972
15,1091031,1,972,972
15,1090930,1,972,987
15,1090831,1,987,981
15,1090731,1,981,973
15,1090630,1,973,973
15,1090531,1,973,973
15,1090430,1,973,973
15,1090331,1,973,970
15,1090229,1,970,970
15,1090131,1,970,963
15,1081231,1,963,935
15,1081130,1,935,921
15,1081031,1,921,908
15,1080930,1,908,907
15,1080831,1,907,889
15,1080731,1,889,888
15,1080630,1,888,881
15,1080531,1,881,865
15,1080430,1,865,851
15,1080331,1,851,825
15,1080228,1,825,825
15,1080131,1,825,825
