縣市,統計期,業者名稱,基地臺
15,1110430,1,974
12,1110430,1,1835
4,1110430,1,4817
1,1110430,1,2913
19,1110430,1,642
5,1110430,1,2094
20,1110430,1,192
17,1110331,1,954
18,1110331,1,935
21,1110331,1,257
13,1110331,1,1204
16,1110331,1,1072
11,1110331,1,1319
3,1110331,1,2058
6,1110331,1,3055
7,1110331,1,361
22,1110331,1,93
14,1110331,1,1275
2,1110331,1,2897
8,1110331,1,612
10,1110331,1,1011
9,1110331,1,337
15,1110331,1,968
12,1110331,1,1827
4,1110331,1,4812
1,1110331,1,2932
19,1110331,1,637
5,1110331,1,2083
20,1110331,1,191
17,1110228,1,954
18,1110228,1,935
21,1110228,1,257
13,1110228,1,1193
16,1110228,1,1067
11,1110228,1,1304
3,1110228,1,2058
6,1110228,1,3037
7,1110228,1,361
22,1110228,1,93
14,1110228,1,1268
2,1110228,1,2897
8,1110228,1,612
10,1110228,1,1011
9,1110228,1,337
15,1110228,1,968
12,1110228,1,1813
4,1110228,1,4797
1,1110228,1,2932
19,1110228,1,636
5,1110228,1,2082
20,1110228,1,191
17,1110131,1,954
18,1110131,1,935
21,1110131,1,257
13,1110131,1,1193
16,1110131,1,1067
11,1110131,1,1304
3,1110131,1,2058
6,1110131,1,3024
7,1110131,1,361
22,1110131,1,93
14,1110131,1,1268
2,1110131,1,2897
8,1110131,1,612
10,1110131,1,1011
9,1110131,1,337
15,1110131,1,968
12,1110131,1,1811
4,1110131,1,4797
1,1110131,1,2932
19,1110131,1,636
5,1110131,1,2082
20,1110131,1,191
17,1101231,1,954
18,1101231,1,935
21,1101231,1,257
13,1101231,1,1193
16,1101231,1,1067
11,1101231,1,1305
3,1101231,1,2057
6,1101231,1,3021
7,1101231,1,358
22,1101231,1,92
14,1101231,1,1268
2,1101231,1,2896
8,1101231,1,612
10,1101231,1,1011
9,1101231,1,338
15,1101231,1,969
12,1101231,1,1812
4,1101231,1,4800
1,1101231,1,2888
19,1101231,1,636
5,1101231,1,2082
20,1101231,1,191
17,1101130,1,954
18,1101130,1,935
21,1101130,1,257
13,1101130,1,1193
16,1101130,1,1066
11,1101130,1,1305
3,1101130,1,2057
6,1101130,1,3015
7,1101130,1,360
22,1101130,1,92
14,1101130,1,1268
2,1101130,1,2896
8,1101130,1,612
10,1101130,1,1011
9,1101130,1,338
15,1101130,1,969
12,1101130,1,1812
4,1101130,1,4800
1,1101130,1,2888
19,1101130,1,632
5,1101130,1,2083
20,1101130,1,191
17,1101031,1,954
18,1101031,1,935
21,1101031,1,255
13,1101031,1,1193
16,1101031,1,1068
11,1101031,1,1306
3,1101031,1,2057
6,1101031,1,3014
7,1101031,1,360
22,1101031,1,92
14,1101031,1,1270
2,1101031,1,2896
8,1101031,1,612
10,1101031,1,1011
9,1101031,1,338
15,1101031,1,970
12,1101031,1,1812
4,1101031,1,4805
1,1101031,1,2888
19,1101031,1,632
5,1101031,1,2083
20,1101031,1,191
17,1100930,1,954
18,1100930,1,933
21,1100930,1,252
13,1100930,1,1197
16,1100930,1,1056
11,1100930,1,1306
3,1100930,1,2056
6,1100930,1,2990
7,1100930,1,349
22,1100930,1,92
14,1100930,1,1275
2,1100930,1,2891
8,1100930,1,612
10,1100930,1,1009
9,1100930,1,333
15,1100930,1,958
12,1100930,1,1813
4,1100930,1,4813
1,1100930,1,2707
19,1100930,1,624
5,1100930,1,2062
20,1100930,1,191
17,1100831,1,954
18,1100831,1,933
21,1100831,1,252
13,1100831,1,1194
16,1100831,1,1056
11,1100831,1,1302
3,1100831,1,2056
6,1100831,1,2987
7,1100831,1,349
22,1100831,1,92
14,1100831,1,1271
2,1100831,1,2891
8,1100831,1,609
10,1100831,1,1003
9,1100831,1,332
15,1100831,1,958
12,1100831,1,1812
4,1100831,1,4816
1,1100831,1,2707
19,1100831,1,624
5,1100831,1,2056
20,1100831,1,191
17,1100731,1,954
18,1100731,1,933
21,1100731,1,250
13,1100731,1,1193
16,1100731,1,1055
11,1100731,1,1288
3,1100731,1,2056
6,1100731,1,2981
7,1100731,1,349
22,1100731,1,92
14,1100731,1,1259
2,1100731,1,2891
8,1100731,1,612
10,1100731,1,1009
9,1100731,1,332
15,1100731,1,946
12,1100731,1,1808
4,1100731,1,4820
1,1100731,1,2707
19,1100731,1,624
5,1100731,1,2044
20,1100731,1,191
17,1100630,1,954
18,1100630,1,928
21,1100630,1,250
13,1100630,1,1192
16,1100630,1,1055
11,1100630,1,1288
3,1100630,1,2056
6,1100630,1,2982
7,1100630,1,338
22,1100630,1,92
14,1100630,1,1259
2,1100630,1,2892
8,1100630,1,611
10,1100630,1,1007
9,1100630,1,332
15,1100630,1,946
12,1100630,1,1808
4,1100630,1,4819
1,1100630,1,2676
19,1100630,1,624
5,1100630,1,2049
20,1100630,1,191
17,1100531,1,954
18,1100531,1,930
21,1100531,1,250
13,1100531,1,1193
16,1100531,1,1055
11,1100531,1,1288
3,1100531,1,2056
6,1100531,1,2983
7,1100531,1,338
22,1100531,1,92
14,1100531,1,1259
2,1100531,1,2892
8,1100531,1,611
10,1100531,1,1007
9,1100531,1,333
15,1100531,1,946
12,1100531,1,1808
4,1100531,1,4820
1,1100531,1,2676
19,1100531,1,624
5,1100531,1,2049
20,1100531,1,191
17,1100430,1,954
18,1100430,1,930
21,1100430,1,250
13,1100430,1,1193
16,1100430,1,1055
11,1100430,1,1288
3,1100430,1,2056
6,1100430,1,2980
7,1100430,1,338
22,1100430,1,92
14,1100430,1,1259
2,1100430,1,2892
8,1100430,1,611
10,1100430,1,1006
9,1100430,1,333
15,1100430,1,946
12,1100430,1,1808
4,1100430,1,4822
1,1100430,1,2678
19,1100430,1,624
5,1100430,1,2051
20,1100430,1,191
17,1100331,1,986
18,1100331,1,938
21,1100331,1,250
13,1100331,1,1193
16,1100331,1,1055
11,1100331,1,1287
3,1100331,1,2091
6,1100331,1,2980
7,1100331,1,368
22,1100331,1,92
14,1100331,1,1259
2,1100331,1,3226
8,1100331,1,611
10,1100331,1,1006
9,1100331,1,333
15,1100331,1,946
12,1100331,1,1808
4,1100331,1,4822
1,1100331,1,2835
19,1100331,1,624
5,1100331,1,2045
20,1100331,1,191
17,1100228,1,997
18,1100228,1,945
21,1100228,1,252
13,1100228,1,1193
16,1100228,1,1054
11,1100228,1,1288
3,1100228,1,2098
6,1100228,1,2979
7,1100228,1,392
22,1100228,1,92
14,1100228,1,1259
2,1100228,1,3261
8,1100228,1,611
10,1100228,1,1006
9,1100228,1,334
15,1100228,1,946
12,1100228,1,1805
4,1100228,1,4824
1,1100228,1,2922
19,1100228,1,624
5,1100228,1,2045
20,1100228,1,191
17,1100131,1,997
18,1100131,1,945
21,1100131,1,250
13,1100131,1,1193
16,1100131,1,1050
11,1100131,1,1288
3,1100131,1,2098
6,1100131,1,2970
7,1100131,1,392
22,1100131,1,92
14,1100131,1,1259
2,1100131,1,3261
8,1100131,1,611
10,1100131,1,1006
9,1100131,1,334
15,1100131,1,942
12,1100131,1,1805
4,1100131,1,4823
1,1100131,1,2922
19,1100131,1,623
5,1100131,1,2041
20,1100131,1,191
17,1091231,1,998
18,1091231,1,945
21,1091231,1,257
13,1091231,1,1193
16,1091231,1,1063
11,1091231,1,1288
3,1091231,1,2098
6,1091231,1,3074
7,1091231,1,392
22,1091231,1,92
14,1091231,1,1258
2,1091231,1,3261
8,1091231,1,608
10,1091231,1,998
9,1091231,1,340
15,1091231,1,971
12,1091231,1,1808
4,1091231,1,4824
1,1091231,1,2922
19,1091231,1,625
5,1091231,1,2101
20,1091231,1,199
17,1091130,1,991
18,1091130,1,936
21,1091130,1,256
13,1091130,1,1192
16,1091130,1,1065
11,1091130,1,1288
3,1091130,1,2087
6,1091130,1,3082
7,1091130,1,390
22,1091130,1,90
14,1091130,1,1259
2,1091130,1,3257
8,1091130,1,608
10,1091130,1,998
9,1091130,1,342
15,1091130,1,972
12,1091130,1,1808
4,1091130,1,4832
1,1091130,1,2907
19,1091130,1,626
5,1091130,1,2112
20,1091130,1,200
17,1091031,1,991
18,1091031,1,936
21,1091031,1,256
13,1091031,1,1192
16,1091031,1,1061
11,1091031,1,1289
3,1091031,1,2087
6,1091031,1,3082
7,1091031,1,390
22,1091031,1,90
14,1091031,1,1259
2,1091031,1,3257
8,1091031,1,608
10,1091031,1,998
9,1091031,1,342
15,1091031,1,972
12,1091031,1,1808
4,1091031,1,4833
1,1091031,1,2907
19,1091031,1,617
5,1091031,1,2112
20,1091031,1,200
17,1090930,1,994
18,1090930,1,937
21,1090930,1,256
13,1090930,1,1199
16,1090930,1,1074
11,1090930,1,1304
3,1090930,1,2119
6,1090930,1,3259
7,1090930,1,401
22,1090930,1,91
14,1090930,1,1281
2,1090930,1,3388
8,1090930,1,641
10,1090930,1,1000
9,1090930,1,358
15,1090930,1,987
12,1090930,1,1882
4,1090930,1,5123
1,1090930,1,3155
19,1090930,1,620
5,1090930,1,2219
20,1090930,1,201
17,1090831,1,995
18,1090831,1,936
21,1090831,1,237
13,1090831,1,1194
16,1090831,1,1065
11,1090831,1,1289
3,1090831,1,2106
6,1090831,1,3188
7,1090831,1,393
22,1090831,1,90
14,1090831,1,1266
2,1090831,1,3331
8,1090831,1,641
10,1090831,1,1000
9,1090831,1,355
15,1090831,1,981
12,1090831,1,1828
4,1090831,1,4993
1,1090831,1,3088
19,1090831,1,611
5,1090831,1,2157
20,1090831,1,201
17,1090731,1,987
18,1090731,1,936
21,1090731,1,237
13,1090731,1,1192
16,1090731,1,1059
11,1090731,1,1289
3,1090731,1,2085
6,1090731,1,3142
7,1090731,1,386
22,1090731,1,90
14,1090731,1,1262
2,1090731,1,3286
8,1090731,1,641
10,1090731,1,1000
9,1090731,1,338
15,1090731,1,973
12,1090731,1,1809
4,1090731,1,4935
1,1090731,1,3049
19,1090731,1,611
5,1090731,1,2148
20,1090731,1,201
17,1090630,1,980
18,1090630,1,921
21,1090630,1,237
13,1090630,1,1188
16,1090630,1,1059
11,1090630,1,1268
3,1090630,1,2085
6,1090630,1,3120
7,1090630,1,386
22,1090630,1,86
14,1090630,1,1255
2,1090630,1,3264
8,1090630,1,641
10,1090630,1,1000
9,1090630,1,338
15,1090630,1,973
12,1090630,1,1796
4,1090630,1,4930
1,1090630,1,3048
19,1090630,1,611
5,1090630,1,2120
20,1090630,1,201
17,1090531,1,980
18,1090531,1,916
21,1090531,1,237
13,1090531,1,1188
16,1090531,1,1060
11,1090531,1,1269
3,1090531,1,2070
6,1090531,1,3047
7,1090531,1,386
22,1090531,1,86
14,1090531,1,1258
2,1090531,1,3210
8,1090531,1,608
10,1090531,1,998
9,1090531,1,338
15,1090531,1,973
12,1090531,1,1798
4,1090531,1,4845
1,1090531,1,2900
19,1090531,1,611
5,1090531,1,2106
20,1090531,1,201
17,1090430,1,980
18,1090430,1,920
21,1090430,1,237
13,1090430,1,1185
16,1090430,1,1060
11,1090430,1,1257
3,1090430,1,2070
6,1090430,1,3048
7,1090430,1,386
22,1090430,1,86
14,1090430,1,1241
2,1090430,1,3210
8,1090430,1,605
10,1090430,1,970
9,1090430,1,338
15,1090430,1,973
12,1090430,1,1790
4,1090430,1,4833
1,1090430,1,2900
19,1090430,1,611
5,1090430,1,2108
20,1090430,1,201
17,1090331,1,980
18,1090331,1,920
21,1090331,1,231
13,1090331,1,1182
16,1090331,1,1064
11,1090331,1,1255
3,1090331,1,2070
6,1090331,1,3034
7,1090331,1,368
22,1090331,1,86
14,1090331,1,1238
2,1090331,1,3194
8,1090331,1,605
10,1090331,1,970
9,1090331,1,338
15,1090331,1,970
12,1090331,1,1786
4,1090331,1,4791
1,1090331,1,2884
19,1090331,1,602
5,1090331,1,2102
20,1090331,1,201
17,1090229,1,982
18,1090229,1,920
21,1090229,1,231
13,1090229,1,1175
16,1090229,1,1064
11,1090229,1,1242
3,1090229,1,2070
6,1090229,1,3034
7,1090229,1,368
22,1090229,1,86
14,1090229,1,1220
2,1090229,1,3194
8,1090229,1,605
10,1090229,1,970
9,1090229,1,338
15,1090229,1,970
12,1090229,1,1755
4,1090229,1,4770
1,1090229,1,2884
19,1090229,1,602
5,1090229,1,2102
20,1090229,1,201
17,1090131,1,956
18,1090131,1,899
21,1090131,1,219
13,1090131,1,1175
16,1090131,1,1060
11,1090131,1,1242
3,1090131,1,2062
6,1090131,1,3019
7,1090131,1,368
22,1090131,1,86
14,1090131,1,1220
2,1090131,1,3187
8,1090131,1,605
10,1090131,1,970
9,1090131,1,338
15,1090131,1,963
12,1090131,1,1755
4,1090131,1,4770
1,1090131,1,2846
19,1090131,1,600
5,1090131,1,2098
20,1090131,1,201
17,1081231,1,931
18,1081231,1,894
21,1081231,1,210
13,1081231,1,1169
16,1081231,1,1052
11,1081231,1,1225
3,1081231,1,2043
6,1081231,1,3003
7,1081231,1,368
22,1081231,1,86
14,1081231,1,1204
2,1081231,1,3189
8,1081231,1,605
10,1081231,1,970
9,1081231,1,338
15,1081231,1,935
12,1081231,1,1740
4,1081231,1,4742
1,1081231,1,2846
19,1081231,1,599
5,1081231,1,2072
20,1081231,1,201
17,1081130,1,926
18,1081130,1,888
21,1081130,1,204
13,1081130,1,1157
16,1081130,1,1046
11,1081130,1,1203
3,1081130,1,2039
6,1081130,1,2978
7,1081130,1,355
22,1081130,1,86
14,1081130,1,1165
2,1081130,1,3085
8,1081130,1,605
10,1081130,1,970
9,1081130,1,338
15,1081130,1,921
12,1081130,1,1687
4,1081130,1,4637
1,1081130,1,2788
19,1081130,1,593
5,1081130,1,2058
20,1081130,1,203
17,1081031,1,902
18,1081031,1,874
21,1081031,1,203
13,1081031,1,1149
16,1081031,1,1035
11,1081031,1,1183
3,1081031,1,2032
6,1081031,1,2943
7,1081031,1,355
22,1081031,1,86
14,1081031,1,1138
2,1081031,1,3032
8,1081031,1,605
10,1081031,1,970
9,1081031,1,338
15,1081031,1,908
12,1081031,1,1654
4,1081031,1,4549
1,1081031,1,2788
19,1081031,1,583
5,1081031,1,2041
20,1081031,1,200
17,1080930,1,894
18,1080930,1,863
21,1080930,1,203
13,1080930,1,1140
16,1080930,1,1035
11,1080930,1,1171
3,1080930,1,1990
6,1080930,1,2945
7,1080930,1,346
22,1080930,1,86
14,1080930,1,1130
2,1080930,1,2994
8,1080930,1,582
10,1080930,1,946
9,1080930,1,339
15,1080930,1,907
12,1080930,1,1642
4,1080930,1,4490
1,1080930,1,2749
19,1080930,1,582
5,1080930,1,2042
20,1080930,1,200
17,1080831,1,894
18,1080831,1,863
21,1080831,1,198
13,1080831,1,1135
16,1080831,1,1026
11,1080831,1,1160
3,1080831,1,1990
6,1080831,1,2891
7,1080831,1,346
22,1080831,1,86
14,1080831,1,1117
2,1080831,1,2995
8,1080831,1,582
10,1080831,1,946
9,1080831,1,335
15,1080831,1,889
12,1080831,1,1621
4,1080831,1,4454
1,1080831,1,2749
19,1080831,1,582
5,1080831,1,1987
20,1080831,1,200
17,1080731,1,888
18,1080731,1,856
21,1080731,1,198
13,1080731,1,1124
16,1080731,1,1017
11,1080731,1,1157
3,1080731,1,1972
6,1080731,1,2881
7,1080731,1,344
22,1080731,1,86
14,1080731,1,1112
2,1080731,1,2871
8,1080731,1,582
10,1080731,1,946
9,1080731,1,334
15,1080731,1,888
12,1080731,1,1585
4,1080731,1,4406
1,1080731,1,2707
19,1080731,1,574
5,1080731,1,1976
20,1080731,1,199
17,1080630,1,880
18,1080630,1,852
21,1080630,1,197
13,1080630,1,1110
16,1080630,1,1003
11,1080630,1,1147
3,1080630,1,1981
6,1080630,1,2815
7,1080630,1,343
22,1080630,1,84
14,1080630,1,1101
2,1080630,1,2888
8,1080630,1,580
10,1080630,1,936
9,1080630,1,332
15,1080630,1,881
12,1080630,1,1568
4,1080630,1,4369
1,1080630,1,2708
19,1080630,1,566
5,1080630,1,1937
20,1080630,1,196
17,1080531,1,875
18,1080531,1,851
21,1080531,1,191
13,1080531,1,1108
16,1080531,1,995
11,1080531,1,1142
3,1080531,1,1939
6,1080531,1,2786
7,1080531,1,334
22,1080531,1,84
14,1080531,1,1096
2,1080531,1,2924
8,1080531,1,581
10,1080531,1,930
9,1080531,1,332
15,1080531,1,865
12,1080531,1,1559
4,1080531,1,4364
1,1080531,1,2737
19,1080531,1,564
5,1080531,1,1918
20,1080531,1,195
17,1080430,1,874
18,1080430,1,843
21,1080430,1,189
13,1080430,1,1098
16,1080430,1,963
11,1080430,1,1127
3,1080430,1,1913
6,1080430,1,2771
7,1080430,1,322
22,1080430,1,84
14,1080430,1,1080
2,1080430,1,2895
8,1080430,1,581
10,1080430,1,932
9,1080430,1,322
15,1080430,1,851
12,1080430,1,1545
4,1080430,1,4338
1,1080430,1,2723
19,1080430,1,545
5,1080430,1,1877
20,1080430,1,192
17,1080331,1,874
18,1080331,1,843
21,1080331,1,186
13,1080331,1,1098
16,1080331,1,946
11,1080331,1,1127
3,1080331,1,1913
6,1080331,1,2737
7,1080331,1,322
22,1080331,1,84
14,1080331,1,1080
2,1080331,1,2895
8,1080331,1,581
10,1080331,1,932
9,1080331,1,320
15,1080331,1,825
12,1080331,1,1545
4,1080331,1,4340
1,1080331,1,2723
19,1080331,1,533
5,1080331,1,1855
20,1080331,1,189
17,1080228,1,874
18,1080228,1,844
21,1080228,1,186
13,1080228,1,986
16,1080228,1,946
11,1080228,1,1092
3,1080228,1,1908
6,1080228,1,2737
7,1080228,1,322
22,1080228,1,84
14,1080228,1,1006
2,1080228,1,2810
8,1080228,1,581
10,1080228,1,932
9,1080228,1,320
15,1080228,1,825
12,1080228,1,1487
4,1080228,1,4179
1,1080228,1,2723
19,1080228,1,533
5,1080228,1,1855
20,1080228,1,189
17,1080131,1,874
18,1080131,1,844
21,1080131,1,186
13,1080131,1,986
16,1080131,1,946
11,1080131,1,1092
3,1080131,1,1908
6,1080131,1,2737
7,1080131,1,322
22,1080131,1,84
14,1080131,1,1006
2,1080131,1,2810
8,1080131,1,581
10,1080131,1,932
9,1080131,1,320
15,1080131,1,825
12,1080131,1,1487
4,1080131,1,4179
1,1080131,1,2723
19,1080131,1,533
5,1080131,1,1850
20,1080131,1,189
17,1120531,2,643
18,1120531,2,703
21,1120531,2,124
13,1120531,2,862
16,1120531,2,969
11,1120531,2,887
3,1120531,2,2014
6,1120531,2,2472
7,1120531,2,300
22,1120531,2,39
14,1120531,2,759
2,1120531,2,2751
8,1120531,2,407
10,1120531,2,732
9,1120531,2,261
15,1120531,2,620
12,1120531,2,1225
4,1120531,2,3641
1,1120531,2,2667
19,1120531,2,452
5,1120531,2,1864
20,1120531,2,166
17,1120430,2,644
18,1120430,2,702
21,1120430,2,126
13,1120430,2,863
16,1120430,2,970
11,1120430,2,887
3,1120430,2,2001
6,1120430,2,2478
7,1120430,2,295
22,1120430,2,39
14,1120430,2,761
2,1120430,2,2724
8,1120430,2,407
10,1120430,2,732
9,1120430,2,262
15,1120430,2,611
12,1120430,2,1230
4,1120430,2,3653
1,1120430,2,2652
19,1120430,2,453
5,1120430,2,1831
20,1120430,2,167
17,1120331,2,644
18,1120331,2,702
21,1120331,2,127
13,1120331,2,858
16,1120331,2,975
11,1120331,2,880
3,1120331,2,1998
6,1120331,2,2484
7,1120331,2,295
22,1120331,2,39
14,1120331,2,747
2,1120331,2,2724
8,1120331,2,407
10,1120331,2,732
9,1120331,2,265
15,1120331,2,612
12,1120331,2,1223
4,1120331,2,3587
1,1120331,2,2652
19,1120331,2,454
5,1120331,2,1834
20,1120331,2,167
17,1120228,2,644
18,1120228,2,702
21,1120228,2,128
13,1120228,2,859
16,1120228,2,979
11,1120228,2,872
3,1120228,2,1998
6,1120228,2,2487
7,1120228,2,295
22,1120228,2,39
14,1120228,2,748
2,1120228,2,2724
8,1120228,2,407
10,1120228,2,732
9,1120228,2,266
15,1120228,2,614
12,1120228,2,1219
4,1120228,2,3572
