縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
6,1120531,3,1966,1966
6,1120430,3,1966,1966
6,1120331,3,1966,1966
6,1120228,3,1966,1966
6,1120131,3,1966,1966
6,1111231,3,1966,1966
6,1111130,3,1966,1966
6,1111031,3,1966,1966
6,1110930,3,1966,1963
6,1110831,3,1963,1963
6,1110731,3,1963,1963
6,1110630,3,1963,1963
6,1110531,3,1963,1963
6,1110430,3,1963,1961
6,1110331,3,1961,1961
6,1110228,3,1961,1961
6,1110131,3,1961,1961
6,1101231,3,1961,1952
6,1101130,3,1952,1952
6,1101031,3,1952,1952
6,1100930,3,1952,1946
6,1100831,3,1946,1946
6,1100731,3,1946,1947
6,1100630,3,1947,1948
6,1100531,3,1948,1942
6,1100430,3,1942,1942
6,1100331,3,1942,1933
6,1100228,3,1933,1933
6,1100131,3,1933,1933
6,1091231,3,1933,2051
6,1091130,3,2051,2051
6,1091031,3,2051,2049
6,1090930,3,2049,2101
6,1090831,3,2101,2087
6,1090731,3,2087,2087
6,1090630,3,2087,2035
6,1090531,3,2035,1991
6,1090430,3,1991,1992
6,1090331,3,1992,1936
6,1090229,3,1936,1917
6,1090131,3,1917,1917
6,1081231,3,1917,1918
6,1081130,3,1918,1899
6,1081031,3,1899,1899
6,1080930,3,1899,1870
6,1080831,3,1870,1851
6,1080731,3,1851,1853
6,1080630,3,1853,1853
6,1080531,3,1853,1844
6,1080430,3,1844,1846
6,1080331,3,1846,1836
6,1080228,3,1836,1805
6,1080131,3,1805,1807
