縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
9,1120531,1,346,346
9,1120430,1,346,345
9,1120331,1,345,345
9,1120228,1,345,344
9,1120131,1,344,344
9,1111231,1,344,343
9,1111130,1,343,343
9,1111031,1,343,343
9,1110930,1,343,343
9,1110831,1,343,342
9,1110731,1,342,342
9,1110630,1,342,341
9,1110531,1,341,341
9,1110430,1,341,337
9,1110331,1,337,337
9,1110228,1,337,337
9,1110131,1,337,337
9,1101231,1,337,338
9,1101130,1,338,338
9,1101031,1,338,338
9,1100930,1,338,333
9,1100831,1,333,332
9,1100731,1,332,332
9,1100630,1,332,332
9,1100531,1,332,333
9,1100430,1,333,333
9,1100331,1,333,333
9,1100228,1,333,334
9,1100131,1,334,334
9,1091231,1,334,340
9,1091130,1,340,342
9,1091031,1,342,342
9,1090930,1,342,358
9,1090831,1,358,355
9,1090731,1,355,338
9,1090630,1,338,338
9,1090531,1,338,338
9,1090430,1,338,338
9,1090331,1,338,338
9,1090229,1,338,338
9,1090131,1,338,338
9,1081231,1,338,338
9,1081130,1,338,338
9,1081031,1,338,338
9,1080930,1,338,339
9,1080831,1,339,335
9,1080731,1,335,334
9,1080630,1,334,332
9,1080531,1,332,332
9,1080430,1,332,322
9,1080331,1,322,320
9,1080228,1,320,320
9,1080131,1,320,320
