縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
14,1120531,1,1327,1327
14,1120430,1,1327,1301
14,1120331,1,1301,1285
14,1120228,1,1285,1293
14,1120131,1,1293,1294
14,1111231,1,1294,1294
14,1111130,1,1294,1294
14,1111031,1,1294,1294
14,1110930,1,1294,1292
14,1110831,1,1292,1292
14,1110731,1,1292,1292
14,1110630,1,1292,1289
14,1110531,1,1289,1278
14,1110430,1,1278,1278
14,1110331,1,1278,1275
14,1110228,1,1275,1268
14,1110131,1,1268,1268
14,1101231,1,1268,1268
14,1101130,1,1268,1268
14,1101031,1,1268,1270
14,1100930,1,1270,1275
14,1100831,1,1275,1271
14,1100731,1,1271,1259
14,1100630,1,1259,1259
14,1100531,1,1259,1259
14,1100430,1,1259,1259
14,1100331,1,1259,1259
14,1100228,1,1259,1259
14,1100131,1,1259,1259
14,1091231,1,1259,1258
14,1091130,1,1258,1259
14,1091031,1,1259,1259
14,1090930,1,1259,1281
14,1090831,1,1281,1266
14,1090731,1,1266,1262
14,1090630,1,1262,1255
14,1090531,1,1255,1258
14,1090430,1,1258,1241
14,1090331,1,1241,1238
14,1090229,1,1238,1220
14,1090131,1,1220,1220
14,1081231,1,1220,1204
14,1081130,1,1204,1165
14,1081031,1,1165,1138
14,1080930,1,1138,1130
14,1080831,1,1130,1117
14,1080731,1,1117,1112
14,1080630,1,1112,1101
14,1080531,1,1101,1096
14,1080430,1,1096,1080
14,1080331,1,1080,1080
14,1080228,1,1080,1006
14,1080131,1,1006,1006
