縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
2,1120531,3,2329,2329
2,1120430,3,2329,2329
2,1120331,3,2329,2329
2,1120228,3,2329,2329
2,1120131,3,2329,2329
2,1111231,3,2329,2329
2,1111130,3,2329,2328
2,1111031,3,2328,2329
2,1110930,3,2329,2330
2,1110831,3,2330,2330
2,1110731,3,2330,2330
2,1110630,3,2330,2326
2,1110531,3,2326,2326
2,1110430,3,2326,2326
2,1110331,3,2326,2295
2,1110228,3,2295,2295
2,1110131,3,2295,2295
2,1101231,3,2295,2284
2,1101130,3,2284,2284
2,1101031,3,2284,2284
2,1100930,3,2284,2287
2,1100831,3,2287,2290
2,1100731,3,2290,2290
2,1100630,3,2290,2291
2,1100531,3,2291,2291
2,1100430,3,2291,2292
2,1100331,3,2292,2302
2,1100228,3,2302,2308
2,1100131,3,2308,2308
2,1091231,3,2308,2300
2,1091130,3,2300,2286
2,1091031,3,2286,2286
2,1090930,3,2286,2338
2,1090831,3,2338,2326
2,1090731,3,2326,2326
2,1090630,3,2326,2276
2,1090531,3,2276,2257
2,1090430,3,2257,2257
2,1090331,3,2257,2249
2,1090229,3,2249,2219
2,1090131,3,2219,2219
2,1081231,3,2219,2220
2,1081130,3,2220,2211
2,1081031,3,2211,2195
2,1080930,3,2195,2195
2,1080831,3,2195,2194
2,1080731,3,2194,2193
2,1080630,3,2193,2177
2,1080531,3,2177,2181
2,1080430,3,2181,2168
2,1080331,3,2168,2168
2,1080228,3,2168,2170
2,1080131,3,2170,2149
