縣市,統計期,業者名稱,基地臺
8,1120531,3,363
8,1120430,3,363
8,1120331,3,363
8,1120228,3,363
8,1120131,3,363
8,1111231,3,363
8,1111130,3,363
8,1111031,3,363
8,1110930,3,363
8,1110831,3,363
8,1110731,3,363
8,1110630,3,363
8,1110531,3,363
8,1110430,3,363
8,1110331,3,363
8,1110228,3,363
8,1110131,3,363
8,1101231,3,363
8,1101130,3,363
8,1101031,3,363
8,1100930,3,363
8,1100831,3,363
8,1100731,3,363
8,1100630,3,363
8,1100531,3,363
8,1100430,3,363
8,1100331,3,363
8,1100228,3,364
8,1100131,3,364
8,1091231,3,364
8,1091130,3,364
8,1091031,3,364
8,1090930,3,367
8,1090831,3,367
8,1090731,3,367
8,1090630,3,362
8,1090531,3,354
8,1090430,3,354
8,1090331,3,354
8,1090229,3,354
8,1090131,3,354
8,1081231,3,354
8,1081130,3,354
8,1081031,3,354
8,1080930,3,354
8,1080831,3,354
8,1080731,3,354
8,1080630,3,351
8,1080531,3,351
8,1080430,3,349
8,1080331,3,349
8,1080228,3,349
8,1080131,3,346
